"repeat_id","outer_seed","outer_fold","sample_id"
1,20260620,2,"GSM615131"
1,20260620,2,"GSM615147"
1,20260620,2,"GSM615150"
1,20260620,2,"GSM615157"
1,20260620,2,"GSM615160"
1,20260620,2,"GSM615164"
1,20260620,2,"GSM615169"
1,20260620,2,"GSM615174"
1,20260620,2,"GSM615178"
1,20260620,2,"GSM615191"
1,20260620,2,"GSM615194"
1,20260620,2,"GSM615196"
1,20260620,2,"GSM615197"
1,20260620,2,"GSM615199"
1,20260620,2,"GSM615206"
1,20260620,2,"GSM615208"
1,20260620,2,"GSM615220"
1,20260620,2,"GSM615224"
1,20260620,2,"GSM615231"
1,20260620,2,"GSM615232"
1,20260620,2,"GSM615233"
1,20260620,2,"GSM615235"
1,20260620,2,"GSM615239"
1,20260620,2,"GSM615241"
1,20260620,2,"GSM615245"
1,20260620,2,"GSM615251"
1,20260620,2,"GSM615255"
1,20260620,2,"GSM615259"
1,20260620,2,"GSM615260"
1,20260620,2,"GSM615268"
1,20260620,2,"GSM615271"
1,20260620,2,"GSM615272"
1,20260620,2,"GSM615280"
1,20260620,2,"GSM615287"
1,20260620,2,"GSM615288"
1,20260620,2,"GSM615302"
1,20260620,2,"GSM615307"
1,20260620,2,"GSM615312"
1,20260620,2,"GSM615319"
1,20260620,2,"GSM615325"
1,20260620,2,"GSM615335"
1,20260620,2,"GSM615337"
1,20260620,2,"GSM615350"
1,20260620,2,"GSM615351"
1,20260620,2,"GSM615362"
1,20260620,2,"GSM615363"
1,20260620,2,"GSM615365"
1,20260620,2,"GSM615366"
1,20260620,2,"GSM615371"
1,20260620,2,"GSM615379"
1,20260620,2,"GSM615380"
1,20260620,2,"GSM615383"
1,20260620,2,"GSM615387"
1,20260620,2,"GSM615396"
1,20260620,2,"GSM615398"
1,20260620,3,"GSM615097"
1,20260620,3,"GSM615107"
1,20260620,3,"GSM615108"
1,20260620,3,"GSM615129"
1,20260620,3,"GSM615132"
1,20260620,3,"GSM615138"
1,20260620,3,"GSM615148"
1,20260620,3,"GSM615151"
1,20260620,3,"GSM615152"
1,20260620,3,"GSM615155"
1,20260620,3,"GSM615166"
1,20260620,3,"GSM615170"
1,20260620,3,"GSM615175"
1,20260620,3,"GSM615179"
1,20260620,3,"GSM615187"
1,20260620,3,"GSM615195"
1,20260620,3,"GSM615198"
1,20260620,3,"GSM615203"
1,20260620,3,"GSM615212"
1,20260620,3,"GSM615213"
1,20260620,3,"GSM615215"
1,20260620,3,"GSM615216"
1,20260620,3,"GSM615225"
1,20260620,3,"GSM615234"
1,20260620,3,"GSM615240"
1,20260620,3,"GSM615242"
1,20260620,3,"GSM615247"
1,20260620,3,"GSM615256"
1,20260620,3,"GSM615263"
1,20260620,3,"GSM615266"
1,20260620,3,"GSM615269"
1,20260620,3,"GSM615273"
1,20260620,3,"GSM615277"
1,20260620,3,"GSM615278"
1,20260620,3,"GSM615289"
1,20260620,3,"GSM615292"
1,20260620,3,"GSM615294"
1,20260620,3,"GSM615295"
1,20260620,3,"GSM615303"
1,20260620,3,"GSM615310"
1,20260620,3,"GSM615311"
1,20260620,3,"GSM615316"
1,20260620,3,"GSM615322"
1,20260620,3,"GSM615328"
1,20260620,3,"GSM615332"
1,20260620,3,"GSM615339"
1,20260620,3,"GSM615341"
1,20260620,3,"GSM615347"
1,20260620,3,"GSM615352"
1,20260620,3,"GSM615356"
1,20260620,3,"GSM615357"
1,20260620,3,"GSM615360"
1,20260620,3,"GSM615364"
1,20260620,3,"GSM615375"
1,20260620,3,"GSM615376"
1,20260620,3,"GSM615378"
1,20260620,3,"GSM615384"
1,20260620,3,"GSM615386"
1,20260620,3,"GSM615403"
1,20260620,3,"GSM615404"
1,20260620,4,"GSM615098"
1,20260620,4,"GSM615102"
1,20260620,4,"GSM615110"
1,20260620,4,"GSM615120"
1,20260620,4,"GSM615126"
1,20260620,4,"GSM615133"
1,20260620,4,"GSM615136"
1,20260620,4,"GSM615137"
1,20260620,4,"GSM615143"
1,20260620,4,"GSM615144"
1,20260620,4,"GSM615149"
1,20260620,4,"GSM615153"
1,20260620,4,"GSM615154"
1,20260620,4,"GSM615158"
1,20260620,4,"GSM615162"
1,20260620,4,"GSM615167"
1,20260620,4,"GSM615172"
1,20260620,4,"GSM615176"
1,20260620,4,"GSM615177"
1,20260620,4,"GSM615181"
1,20260620,4,"GSM615182"
1,20260620,4,"GSM615183"
1,20260620,4,"GSM615188"
1,20260620,4,"GSM615209"
1,20260620,4,"GSM615218"
1,20260620,4,"GSM615221"
1,20260620,4,"GSM615230"
1,20260620,4,"GSM615236"
1,20260620,4,"GSM615238"
1,20260620,4,"GSM615248"
1,20260620,4,"GSM615250"
1,20260620,4,"GSM615253"
1,20260620,4,"GSM615254"
1,20260620,4,"GSM615261"
1,20260620,4,"GSM615265"
1,20260620,4,"GSM615267"
1,20260620,4,"GSM615276"
1,20260620,4,"GSM615279"
1,20260620,4,"GSM615282"
1,20260620,4,"GSM615283"
1,20260620,4,"GSM615285"
1,20260620,4,"GSM615286"
1,20260620,4,"GSM615305"
1,20260620,4,"GSM615314"
1,20260620,4,"GSM615329"
1,20260620,4,"GSM615330"
1,20260620,4,"GSM615334"
1,20260620,4,"GSM615336"
1,20260620,4,"GSM615345"
1,20260620,4,"GSM615349"
1,20260620,4,"GSM615359"
1,20260620,4,"GSM615369"
1,20260620,4,"GSM615373"
1,20260620,4,"GSM615381"
1,20260620,4,"GSM615382"
1,20260620,4,"GSM615389"
1,20260620,4,"GSM615392"
1,20260620,4,"GSM615397"
1,20260620,4,"GSM615401"
1,20260620,4,"GSM615402"
1,20260620,4,"GSM615405"
1,20260620,5,"GSM615100"
1,20260620,5,"GSM615101"
1,20260620,5,"GSM615103"
1,20260620,5,"GSM615111"
1,20260620,5,"GSM615125"
1,20260620,5,"GSM615127"
1,20260620,5,"GSM615134"
1,20260620,5,"GSM615141"
1,20260620,5,"GSM615142"
1,20260620,5,"GSM615145"
1,20260620,5,"GSM615146"
1,20260620,5,"GSM615159"
1,20260620,5,"GSM615161"
1,20260620,5,"GSM615165"
1,20260620,5,"GSM615184"
1,20260620,5,"GSM615185"
1,20260620,5,"GSM615186"
1,20260620,5,"GSM615189"
1,20260620,5,"GSM615190"
1,20260620,5,"GSM615193"
1,20260620,5,"GSM615200"
1,20260620,5,"GSM615201"
1,20260620,5,"GSM615205"
1,20260620,5,"GSM615217"
1,20260620,5,"GSM615223"
1,20260620,5,"GSM615237"
1,20260620,5,"GSM615244"
1,20260620,5,"GSM615246"
1,20260620,5,"GSM615249"
1,20260620,5,"GSM615262"
1,20260620,5,"GSM615281"
1,20260620,5,"GSM615284"
1,20260620,5,"GSM615290"
1,20260620,5,"GSM615293"
1,20260620,5,"GSM615296"
1,20260620,5,"GSM615297"
1,20260620,5,"GSM615300"
1,20260620,5,"GSM615301"
1,20260620,5,"GSM615304"
1,20260620,5,"GSM615306"
1,20260620,5,"GSM615313"
1,20260620,5,"GSM615315"
1,20260620,5,"GSM615318"
1,20260620,5,"GSM615326"
1,20260620,5,"GSM615327"
1,20260620,5,"GSM615331"
1,20260620,5,"GSM615333"
1,20260620,5,"GSM615338"
1,20260620,5,"GSM615343"
1,20260620,5,"GSM615346"
1,20260620,5,"GSM615348"
1,20260620,5,"GSM615355"
1,20260620,5,"GSM615361"
1,20260620,5,"GSM615370"
1,20260620,5,"GSM615374"
1,20260620,5,"GSM615377"
1,20260620,5,"GSM615391"
1,20260620,5,"GSM615393"
1,20260620,5,"GSM615394"
1,20260620,5,"GSM615395"
1,20260620,5,"GSM615399"
2,20260621,1,"GSM615097"
2,20260621,1,"GSM615098"
2,20260621,1,"GSM615101"
2,20260621,1,"GSM615104"
2,20260621,1,"GSM615106"
2,20260621,1,"GSM615112"
2,20260621,1,"GSM615121"
2,20260621,1,"GSM615125"
2,20260621,1,"GSM615132"
2,20260621,1,"GSM615133"
2,20260621,1,"GSM615147"
2,20260621,1,"GSM615154"
2,20260621,1,"GSM615167"
2,20260621,1,"GSM615170"
2,20260621,1,"GSM615187"
2,20260621,1,"GSM615193"
2,20260621,1,"GSM615194"
2,20260621,1,"GSM615195"
2,20260621,1,"GSM615206"
2,20260621,1,"GSM615211"
2,20260621,1,"GSM615214"
2,20260621,1,"GSM615221"
2,20260621,1,"GSM615223"
2,20260621,1,"GSM615224"
2,20260621,1,"GSM615226"
2,20260621,1,"GSM615240"
2,20260621,1,"GSM615247"
2,20260621,1,"GSM615248"
2,20260621,1,"GSM615257"
2,20260621,1,"GSM615260"
2,20260621,1,"GSM615262"
2,20260621,1,"GSM615264"
2,20260621,1,"GSM615265"
2,20260621,1,"GSM615269"
2,20260621,1,"GSM615273"
2,20260621,1,"GSM615276"
2,20260621,1,"GSM615281"
2,20260621,1,"GSM615282"
2,20260621,1,"GSM615285"
2,20260621,1,"GSM615286"
2,20260621,1,"GSM615287"
2,20260621,1,"GSM615289"
2,20260621,1,"GSM615295"
2,20260621,1,"GSM615304"
2,20260621,1,"GSM615310"
2,20260621,1,"GSM615312"
2,20260621,1,"GSM615318"
2,20260621,1,"GSM615322"
2,20260621,1,"GSM615326"
2,20260621,1,"GSM615329"
2,20260621,1,"GSM615339"
2,20260621,1,"GSM615354"
2,20260621,1,"GSM615359"
2,20260621,1,"GSM615363"
2,20260621,1,"GSM615369"
2,20260621,1,"GSM615375"
2,20260621,1,"GSM615388"
2,20260621,1,"GSM615389"
2,20260621,1,"GSM615399"
2,20260621,1,"GSM615401"
2,20260621,2,"GSM615100"
2,20260621,2,"GSM615108"
2,20260621,2,"GSM615115"
2,20260621,2,"GSM615129"
2,20260621,2,"GSM615131"
2,20260621,2,"GSM615134"
2,20260621,2,"GSM615135"
2,20260621,2,"GSM615140"
2,20260621,2,"GSM615141"
2,20260621,2,"GSM615143"
2,20260621,2,"GSM615144"
2,20260621,2,"GSM615145"
2,20260621,2,"GSM615150"
2,20260621,2,"GSM615151"
2,20260621,2,"GSM615156"
2,20260621,2,"GSM615157"
2,20260621,2,"GSM615169"
2,20260621,2,"GSM615172"
2,20260621,2,"GSM615176"
2,20260621,2,"GSM615183"
2,20260621,2,"GSM615188"
2,20260621,2,"GSM615197"
2,20260621,2,"GSM615198"
2,20260621,2,"GSM615200"
2,20260621,2,"GSM615202"
2,20260621,2,"GSM615203"
2,20260621,2,"GSM615204"
2,20260621,2,"GSM615209"
2,20260621,2,"GSM615210"
2,20260621,2,"GSM615212"
2,20260621,2,"GSM615216"
2,20260621,2,"GSM615231"
2,20260621,2,"GSM615253"
2,20260621,2,"GSM615255"
2,20260621,2,"GSM615263"
2,20260621,2,"GSM615270"
2,20260621,2,"GSM615271"
2,20260621,2,"GSM615301"
2,20260621,2,"GSM615313"
2,20260621,2,"GSM615321"
2,20260621,2,"GSM615331"
2,20260621,2,"GSM615340"
2,20260621,2,"GSM615344"
2,20260621,2,"GSM615345"
2,20260621,2,"GSM615347"
2,20260621,2,"GSM615348"
2,20260621,2,"GSM615353"
2,20260621,2,"GSM615355"
2,20260621,2,"GSM615356"
2,20260621,2,"GSM615361"
2,20260621,2,"GSM615362"
2,20260621,2,"GSM615368"
2,20260621,2,"GSM615370"
2,20260621,2,"GSM615373"
2,20260621,2,"GSM615377"
2,20260621,2,"GSM615379"
2,20260621,2,"GSM615382"
2,20260621,2,"GSM615384"
2,20260621,2,"GSM615392"
2,20260621,2,"GSM615394"
2,20260621,2,"GSM615395"
2,20260621,2,"GSM615397"
2,20260621,3,"GSM615099"
2,20260621,3,"GSM615102"
2,20260621,3,"GSM615103"
2,20260621,3,"GSM615109"
2,20260621,3,"GSM615111"
2,20260621,3,"GSM615116"
2,20260621,3,"GSM615127"
2,20260621,3,"GSM615130"
2,20260621,3,"GSM615137"
2,20260621,3,"GSM615138"
2,20260621,3,"GSM615139"
2,20260621,3,"GSM615142"
2,20260621,3,"GSM615148"
2,20260621,3,"GSM615153"
2,20260621,3,"GSM615159"
2,20260621,3,"GSM615162"
2,20260621,3,"GSM615168"
2,20260621,3,"GSM615179"
2,20260621,3,"GSM615180"
2,20260621,3,"GSM615184"
2,20260621,3,"GSM615192"
2,20260621,3,"GSM615199"
2,20260621,3,"GSM615219"
2,20260621,3,"GSM615228"
2,20260621,3,"GSM615230"
2,20260621,3,"GSM615235"
2,20260621,3,"GSM615236"
2,20260621,3,"GSM615237"
2,20260621,3,"GSM615245"
2,20260621,3,"GSM615246"
2,20260621,3,"GSM615256"
2,20260621,3,"GSM615259"
2,20260621,3,"GSM615261"
2,20260621,3,"GSM615272"
2,20260621,3,"GSM615274"
2,20260621,3,"GSM615280"
2,20260621,3,"GSM615284"
2,20260621,3,"GSM615294"
2,20260621,3,"GSM615296"
2,20260621,3,"GSM615297"
2,20260621,3,"GSM615300"
2,20260621,3,"GSM615302"
2,20260621,3,"GSM615306"
2,20260621,3,"GSM615308"
2,20260621,3,"GSM615324"
2,20260621,3,"GSM615330"
2,20260621,3,"GSM615335"
2,20260621,3,"GSM615337"
2,20260621,3,"GSM615342"
2,20260621,3,"GSM615351"
2,20260621,3,"GSM615352"
2,20260621,3,"GSM615357"
2,20260621,3,"GSM615360"
2,20260621,3,"GSM615366"
2,20260621,3,"GSM615371"
2,20260621,3,"GSM615380"
2,20260621,3,"GSM615390"
2,20260621,3,"GSM615393"
2,20260621,3,"GSM615398"
2,20260621,3,"GSM615402"
2,20260621,3,"GSM615405"
2,20260621,4,"GSM615117"
2,20260621,4,"GSM615120"
2,20260621,4,"GSM615124"
2,20260621,4,"GSM615126"
2,20260621,4,"GSM615136"
2,20260621,4,"GSM615146"
2,20260621,4,"GSM615149"
2,20260621,4,"GSM615158"
2,20260621,4,"GSM615160"
2,20260621,4,"GSM615165"
2,20260621,4,"GSM615171"
2,20260621,4,"GSM615173"
2,20260621,4,"GSM615174"
2,20260621,4,"GSM615175"
2,20260621,4,"GSM615185"
2,20260621,4,"GSM615186"
2,20260621,4,"GSM615189"
2,20260621,4,"GSM615196"
2,20260621,4,"GSM615201"
2,20260621,4,"GSM615205"
2,20260621,4,"GSM615213"
2,20260621,4,"GSM615218"
2,20260621,4,"GSM615220"
2,20260621,4,"GSM615225"
2,20260621,4,"GSM615227"
2,20260621,4,"GSM615239"
2,20260621,4,"GSM615241"
2,20260621,4,"GSM615243"
2,20260621,4,"GSM615250"
2,20260621,4,"GSM615251"
2,20260621,4,"GSM615252"
2,20260621,4,"GSM615258"
2,20260621,4,"GSM615267"
2,20260621,4,"GSM615268"
2,20260621,4,"GSM615275"
2,20260621,4,"GSM615277"
2,20260621,4,"GSM615283"
2,20260621,4,"GSM615288"
2,20260621,4,"GSM615290"
2,20260621,4,"GSM615299"
2,20260621,4,"GSM615303"
2,20260621,4,"GSM615307"
2,20260621,4,"GSM615309"
2,20260621,4,"GSM615311"
2,20260621,4,"GSM615314"
2,20260621,4,"GSM615316"
2,20260621,4,"GSM615319"
2,20260621,4,"GSM615323"
2,20260621,4,"GSM615325"
2,20260621,4,"GSM615332"
2,20260621,4,"GSM615333"
2,20260621,4,"GSM615334"
2,20260621,4,"GSM615336"
2,20260621,4,"GSM615338"
2,20260621,4,"GSM615341"
2,20260621,4,"GSM615343"
2,20260621,4,"GSM615346"
2,20260621,4,"GSM615350"
2,20260621,4,"GSM615365"
2,20260621,4,"GSM615376"
2,20260621,4,"GSM615396"
2,20260621,4,"GSM615400"
2,20260621,5,"GSM615096"
2,20260621,5,"GSM615107"
2,20260621,5,"GSM615110"
2,20260621,5,"GSM615113"
2,20260621,5,"GSM615114"
2,20260621,5,"GSM615122"
2,20260621,5,"GSM615123"
2,20260621,5,"GSM615128"
2,20260621,5,"GSM615152"
2,20260621,5,"GSM615155"
2,20260621,5,"GSM615161"
2,20260621,5,"GSM615164"
2,20260621,5,"GSM615166"
2,20260621,5,"GSM615177"
2,20260621,5,"GSM615178"
2,20260621,5,"GSM615181"
2,20260621,5,"GSM615182"
2,20260621,5,"GSM615190"
2,20260621,5,"GSM615191"
2,20260621,5,"GSM615207"
2,20260621,5,"GSM615208"
2,20260621,5,"GSM615215"
2,20260621,5,"GSM615217"
2,20260621,5,"GSM615222"
2,20260621,5,"GSM615229"
2,20260621,5,"GSM615232"
2,20260621,5,"GSM615233"
2,20260621,5,"GSM615234"
2,20260621,5,"GSM615238"
2,20260621,5,"GSM615242"
2,20260621,5,"GSM615244"
2,20260621,5,"GSM615249"
2,20260621,5,"GSM615254"
2,20260621,5,"GSM615266"
2,20260621,5,"GSM615278"
2,20260621,5,"GSM615279"
2,20260621,5,"GSM615291"
2,20260621,5,"GSM615292"
2,20260621,5,"GSM615293"
2,20260621,5,"GSM615298"
2,20260621,5,"GSM615305"
2,20260621,5,"GSM615315"
2,20260621,5,"GSM615317"
2,20260621,5,"GSM615320"
2,20260621,5,"GSM615327"
2,20260621,5,"GSM615328"
2,20260621,5,"GSM615349"
2,20260621,5,"GSM615358"
2,20260621,5,"GSM615364"
2,20260621,5,"GSM615367"
2,20260621,5,"GSM615372"
2,20260621,5,"GSM615374"
2,20260621,5,"GSM615378"
2,20260621,5,"GSM615381"
2,20260621,5,"GSM615383"
2,20260621,5,"GSM615385"
2,20260621,5,"GSM615386"
2,20260621,5,"GSM615387"
2,20260621,5,"GSM615391"
2,20260621,5,"GSM615403"
2,20260621,5,"GSM615404"
3,20260622,1,"GSM615100"
3,20260622,1,"GSM615101"
3,20260622,1,"GSM615108"
3,20260622,1,"GSM615114"
3,20260622,1,"GSM615115"
3,20260622,1,"GSM615117"
3,20260622,1,"GSM615121"
3,20260622,1,"GSM615124"
3,20260622,1,"GSM615128"
3,20260622,1,"GSM615130"
3,20260622,1,"GSM615146"
3,20260622,1,"GSM615159"
3,20260622,1,"GSM615166"
3,20260622,1,"GSM615184"
3,20260622,1,"GSM615185"
3,20260622,1,"GSM615187"
3,20260622,1,"GSM615194"
3,20260622,1,"GSM615198"
3,20260622,1,"GSM615209"
3,20260622,1,"GSM615211"
3,20260622,1,"GSM615212"
3,20260622,1,"GSM615213"
3,20260622,1,"GSM615224"
3,20260622,1,"GSM615229"
3,20260622,1,"GSM615231"
3,20260622,1,"GSM615243"
3,20260622,1,"GSM615245"
3,20260622,1,"GSM615246"
3,20260622,1,"GSM615253"
3,20260622,1,"GSM615258"
3,20260622,1,"GSM615264"
3,20260622,1,"GSM615267"
3,20260622,1,"GSM615270"
3,20260622,1,"GSM615278"
3,20260622,1,"GSM615280"
3,20260622,1,"GSM615288"
3,20260622,1,"GSM615293"
3,20260622,1,"GSM615297"
3,20260622,1,"GSM615301"
3,20260622,1,"GSM615304"
3,20260622,1,"GSM615308"
3,20260622,1,"GSM615311"
3,20260622,1,"GSM615326"
3,20260622,1,"GSM615331"
3,20260622,1,"GSM615332"
3,20260622,1,"GSM615339"
3,20260622,1,"GSM615340"
3,20260622,1,"GSM615341"
3,20260622,1,"GSM615347"
3,20260622,1,"GSM615349"
3,20260622,1,"GSM615355"
3,20260622,1,"GSM615360"
3,20260622,1,"GSM615363"
3,20260622,1,"GSM615366"
3,20260622,1,"GSM615381"
3,20260622,1,"GSM615385"
3,20260622,1,"GSM615386"
3,20260622,1,"GSM615388"
3,20260622,1,"GSM615392"
3,20260622,1,"GSM615395"
3,20260622,1,"GSM615403"
3,20260622,2,"GSM615099"
3,20260622,2,"GSM615104"
3,20260622,2,"GSM615110"
3,20260622,2,"GSM615122"
3,20260622,2,"GSM615132"
3,20260622,2,"GSM615137"
3,20260622,2,"GSM615140"
3,20260622,2,"GSM615144"
3,20260622,2,"GSM615161"
3,20260622,2,"GSM615165"
3,20260622,2,"GSM615167"
3,20260622,2,"GSM615168"
3,20260622,2,"GSM615172"
3,20260622,2,"GSM615175"
3,20260622,2,"GSM615189"
3,20260622,2,"GSM615192"
3,20260622,2,"GSM615201"
3,20260622,2,"GSM615207"
3,20260622,2,"GSM615208"
3,20260622,2,"GSM615216"
3,20260622,2,"GSM615222"
3,20260622,2,"GSM615227"
3,20260622,2,"GSM615228"
3,20260622,2,"GSM615232"
3,20260622,2,"GSM615236"
3,20260622,2,"GSM615237"
3,20260622,2,"GSM615238"
3,20260622,2,"GSM615240"
3,20260622,2,"GSM615248"
3,20260622,2,"GSM615259"
3,20260622,2,"GSM615268"
3,20260622,2,"GSM615273"
3,20260622,2,"GSM615277"
3,20260622,2,"GSM615281"
3,20260622,2,"GSM615286"
3,20260622,2,"GSM615289"
3,20260622,2,"GSM615296"
3,20260622,2,"GSM615298"
3,20260622,2,"GSM615309"
3,20260622,2,"GSM615314"
3,20260622,2,"GSM615315"
3,20260622,2,"GSM615316"
3,20260622,2,"GSM615317"
3,20260622,2,"GSM615334"
3,20260622,2,"GSM615337"
3,20260622,2,"GSM615342"
3,20260622,2,"GSM615343"
3,20260622,2,"GSM615344"
3,20260622,2,"GSM615346"
3,20260622,2,"GSM615348"
3,20260622,2,"GSM615350"
3,20260622,2,"GSM615352"
3,20260622,2,"GSM615353"
3,20260622,2,"GSM615361"
3,20260622,2,"GSM615368"
3,20260622,2,"GSM615370"
3,20260622,2,"GSM615371"
3,20260622,2,"GSM615377"
3,20260622,2,"GSM615382"
3,20260622,2,"GSM615384"
3,20260622,2,"GSM615399"
3,20260622,2,"GSM615402"
3,20260622,3,"GSM615096"
3,20260622,3,"GSM615102"
3,20260622,3,"GSM615106"
3,20260622,3,"GSM615107"
3,20260622,3,"GSM615111"
3,20260622,3,"GSM615127"
3,20260622,3,"GSM615133"
3,20260622,3,"GSM615134"
3,20260622,3,"GSM615135"
3,20260622,3,"GSM615136"
3,20260622,3,"GSM615141"
3,20260622,3,"GSM615142"
3,20260622,3,"GSM615145"
3,20260622,3,"GSM615151"
3,20260622,3,"GSM615162"
3,20260622,3,"GSM615170"
3,20260622,3,"GSM615171"
3,20260622,3,"GSM615173"
3,20260622,3,"GSM615177"
3,20260622,3,"GSM615180"
3,20260622,3,"GSM615190"
3,20260622,3,"GSM615196"
3,20260622,3,"GSM615200"
3,20260622,3,"GSM615202"
3,20260622,3,"GSM615204"
3,20260622,3,"GSM615210"
3,20260622,3,"GSM615214"
3,20260622,3,"GSM615218"
3,20260622,3,"GSM615221"
3,20260622,3,"GSM615256"
3,20260622,3,"GSM615257"
3,20260622,3,"GSM615260"
3,20260622,3,"GSM615263"
3,20260622,3,"GSM615269"
3,20260622,3,"GSM615272"
3,20260622,3,"GSM615279"
3,20260622,3,"GSM615283"
3,20260622,3,"GSM615285"
3,20260622,3,"GSM615290"
3,20260622,3,"GSM615294"
3,20260622,3,"GSM615302"
3,20260622,3,"GSM615313"
3,20260622,3,"GSM615322"
3,20260622,3,"GSM615323"
3,20260622,3,"GSM615324"
3,20260622,3,"GSM615333"
3,20260622,3,"GSM615335"
3,20260622,3,"GSM615336"
3,20260622,3,"GSM615338"
3,20260622,3,"GSM615356"
3,20260622,3,"GSM615359"
3,20260622,3,"GSM615372"
3,20260622,3,"GSM615374"
3,20260622,3,"GSM615375"
3,20260622,3,"GSM615376"
3,20260622,3,"GSM615380"
3,20260622,3,"GSM615383"
3,20260622,3,"GSM615390"
3,20260622,3,"GSM615394"
3,20260622,3,"GSM615396"
3,20260622,3,"GSM615400"
3,20260622,3,"GSM615401"
3,20260622,4,"GSM615103"
3,20260622,4,"GSM615112"
3,20260622,4,"GSM615113"
3,20260622,4,"GSM615116"
3,20260622,4,"GSM615120"
3,20260622,4,"GSM615123"
3,20260622,4,"GSM615125"
3,20260622,4,"GSM615126"
3,20260622,4,"GSM615129"
3,20260622,4,"GSM615131"
3,20260622,4,"GSM615138"
3,20260622,4,"GSM615139"
3,20260622,4,"GSM615147"
3,20260622,4,"GSM615152"
3,20260622,4,"GSM615153"
3,20260622,4,"GSM615154"
3,20260622,4,"GSM615157"
3,20260622,4,"GSM615174"
3,20260622,4,"GSM615178"
3,20260622,4,"GSM615181"
3,20260622,4,"GSM615199"
3,20260622,4,"GSM615203"
3,20260622,4,"GSM615206"
3,20260622,4,"GSM615217"
3,20260622,4,"GSM615219"
3,20260622,4,"GSM615220"
3,20260622,4,"GSM615225"
3,20260622,4,"GSM615226"
3,20260622,4,"GSM615230"
3,20260622,4,"GSM615234"
3,20260622,4,"GSM615239"
3,20260622,4,"GSM615242"
3,20260622,4,"GSM615244"
3,20260622,4,"GSM615247"
3,20260622,4,"GSM615249"
3,20260622,4,"GSM615252"
3,20260622,4,"GSM615255"
3,20260622,4,"GSM615265"
3,20260622,4,"GSM615266"
3,20260622,4,"GSM615271"
3,20260622,4,"GSM615275"
3,20260622,4,"GSM615282"
3,20260622,4,"GSM615284"
3,20260622,4,"GSM615287"
3,20260622,4,"GSM615300"
3,20260622,4,"GSM615303"
3,20260622,4,"GSM615310"
3,20260622,4,"GSM615312"
3,20260622,4,"GSM615321"
3,20260622,4,"GSM615329"
3,20260622,4,"GSM615345"
3,20260622,4,"GSM615351"
3,20260622,4,"GSM615354"
3,20260622,4,"GSM615358"
3,20260622,4,"GSM615362"
3,20260622,4,"GSM615373"
3,20260622,4,"GSM615378"
3,20260622,4,"GSM615389"
3,20260622,4,"GSM615393"
3,20260622,4,"GSM615397"
3,20260622,4,"GSM615404"
3,20260622,5,"GSM615097"
3,20260622,5,"GSM615098"
3,20260622,5,"GSM615109"
3,20260622,5,"GSM615143"
3,20260622,5,"GSM615148"
3,20260622,5,"GSM615149"
3,20260622,5,"GSM615150"
3,20260622,5,"GSM615155"
3,20260622,5,"GSM615156"
3,20260622,5,"GSM615158"
3,20260622,5,"GSM615160"
3,20260622,5,"GSM615164"
3,20260622,5,"GSM615169"
